Title,ATMega2560,,,,,,,
Revision,1,,,,,,,
Date,,,,,,,,
Generated,26-05-18 16:06,,,,,,,
Company,Airchip Tech,,,,,,,
Comment 1,,,,,,,,
Comment 2,,,,,,,,
Comment 3,,,,,,,,
Comment 4,,,,,,,,
Total Parts,84,,,,,,,
Total Unique Parts,40,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Ref,Qty,Value,Footprint,Manufacturer,Part Num,Supplier,Price,Price Total
BT1 ,1,Battery_Cell,,Connfly,DS1092-12N8S,Ozdisan,0.38,0.38
C1 ,1,22pF,,x,,,0.1,0.1
C2 C3 C4 C7 C8 C9 C10 ,7,0.1uF,,x,,,0.1,0.1
C5 C6 ,2,22pF,,x,,,0.1,0.1
C11 ,1,220uF,,x,,,0.1,0.1
C12 ,1,22uF,,x,,,0.1,0.1
C13 ,1,100uF,,x,,,0.1,0.1
C14 ,1,1000uF,,x,,,0.1,0.1
D1 ,1,ON,,,,,0.1,0.1
D2 D7 ,2,1N5819,,,,,0.1,0.1
D3 D4 D5 D6 ,4,D,,,,,0.1,0.1
J1 J2 J3 J4 J5 J6 J7 J8 J22 J24 J25 J26 J27 ,13,1x3,,,,,0.1,0.1
J9 ,1,BNC_1,,,,Digi-Key,1.5,1.5
J10 ,1,BNC_2,,,,Digi-Key,1.5,1.5
J11 ,1,BNC_3,,,,Digi-Key,1.5,1.5
J12 ,1,BNC_4,,,,Digi-Key,1.5,1.5
J13 J14 J15 J21 ,4,1x4,,,,,0.1,0.1
J16 J19 ,2,1x8,,,,,0.1,0.1
J17 J18 J28 ,3,1x2,,,,,0.1,0.1
J20 ,1,1x5,,,,,0.1,0.1
J23 ,1,1x7,,,,,0.1,0.1
K1 K2 K3 K4 ,4,G5Q-1,,Tianbo,HJR-3FF-S-Z-4/05VDC,Ozdisan,0.3,1.2
L1 ,1,330uH,,,,,0.3,0.3
L2 ,1,100uH,,,,,0.3,0.3
Q1 Q2 Q3 Q4 ,4,NMOS,,,,,0.1,0.1
Q5 ,1,SI2323DS,,,,,0.2,0.2
Q6 ,1,SI2323DS,,,,,0.2,0.2
R1 R5 R11 R12 R13 R14 ,6,10K,,,,,0.1,0.1
R2 R7 R8 R9 R10 ,5,1K,,,,,0.1,0.1
R3 ,1,1M,,,,,0.1,0.1
R4 ,1,27R,,,,,0.1,0.1
R6 ,1,4.7K,,,,,0.1,0.1
SW1 ,1,RESET,,,,,1,1
U1 ,1,DS1302,,,,,3,3
U2 ,1,ATMEGA2560-16AU,,,,,12,12
U3 ,1,SN74LVC2T45,,,,,0,0
U4 ,1,LM2574,,TI,LM2574MX-3.3/NOPB,Ozdisan,1.54,1.54
U5 ,1,LM2576,,TI,LM2576S-12/NOPB,Ozdisan,2.4,2.4
Y1 ,1,16Mhz,,,,,1,1
Y2 ,1,32.768 KHz,,, ,,0.5,0.5
,,,,,,,,
EXTENAL,,,,,,,,
PIR,,,,,,,3.8,3.8
Nextion,,,,,,,14,14
DS18B20,,,,,,,1,1
,,,,,,,,
PCB,,,,,,,,5
,,,,,,,,56.02
